number,name,brand,strength,anson_handle,anson_url
14,Chocolate Thunder,Dent Gents,High,dent-gents-chocolate-thunder-hot-glue,https://ansonpdr.com/products/dent-gents-chocolate-thunder-hot-glue
15,Dent Out HS-10 Red,Dent Out,Super High,dentout-red-pdr-glue,https://ansonpdr.com/products/dentout-red-pdr-glue
16,Purpull Perfection,Dent Reaper,High,purple-perfection-pdr-glue-by-dent-reaper,https://ansonpdr.com/products/purple-perfection-pdr-glue-by-dent-reaper
17,GlueTraxx Teal,GlueTraxx,High,pdr-glue-traxx,https://ansonpdr.com/products/pdr-glue-traxx
18,Orange Fire,PDR Glue Systems,High,orange-fire-pdr-glue-systems,https://ansonpdr.com/products/orange-fire-pdr-glue-systems
19,Tequila Turquoise,Tequila PDR,High,tequila-pdr-glue,https://ansonpdr.com/products/tequila-pdr-glue
20,Hangin' Honey (Gold Rush),Willey Quick (formerly Plain Jane Gold Rush),High,willey-quick-brazilian-hot-glue,https://ansonpdr.com/products/willey-quick-brazilian-hot-glue
21,Brazilian Tropical Hail,Fast PDR,High,brazilian-tropical-hail-hot-glue,https://ansonpdr.com/products/brazilian-tropical-hail-hot-glue
22,"Hawg ""Just Black""",Hawg / Daniel Gromm,High,hawg-hot-pdr-glue-just-black,https://ansonpdr.com/products/hawg-hot-pdr-glue-just-black
23,Yellow Jacket,PDR Glue Systems,High,yellow-jacket-pdr-glue-systems,https://ansonpdr.com/products/yellow-jacket-pdr-glue-systems
24,Tequila Fire (Nude),Tequila PDR,High,tequila-pdr-fire-glue,https://ansonpdr.com/products/tequila-pdr-fire-glue
25,Red Chile,PDR Glue Systems,High,red-chile-pdr-glue-systems,https://ansonpdr.com/products/red-chile-pdr-glue-systems
26,Anson White,Anson PDR,High,white-pdr-glue-sticks-anson,https://ansonpdr.com/products/white-pdr-glue-sticks-anson
27,Cactus Green,Burro PDR,High,green-pdr-glue-sticks-burro,https://ansonpdr.com/products/green-pdr-glue-sticks-burro
28,Brazilian Green,Elimadent,High,elimadent-brazilian-green,https://ansonpdr.com/products/elimadent-brazilian-green
29,Glexo Hot Melt (30 sticks),Glexo,High,glexo-hot-melt-glue-30-sticks,https://ansonpdr.com/products/glexo-hot-melt-glue-30-sticks
30,"Hawg Glue Orange ""Just Orange""",Hawg / Daniel Gromm,High,hawg-pdr-glue-daniel-gromm,https://ansonpdr.com/products/hawg-pdr-glue-daniel-gromm
31,Xtreme Purple,Plain Jane PDR,High,xtreme-purple-pdr-glue-plain-jane,https://ansonpdr.com/products/xtreme-purple-pdr-glue-plain-jane
32,Tab Weld (Grey),Tab Weld / Anson PDR,High,tab-weld-pdr-glue,https://ansonpdr.com/products/tab-weld-pdr-glue
33,Tuggin' Teal,Willey Quick,High,willey-quick-tuggin-teal-hot-glue,https://ansonpdr.com/products/willey-quick-tuggin-teal-hot-glue
34,Anson Collision Hard Pull (Nude),Anson PDR,Super High,collision-glue-hard-pull-hot,https://ansonpdr.com/products/collision-glue-hard-pull-hot
35,CAMAUTO Bare Metal Glue,CAMAUTO,High,camauto-bare-metal-glue,https://ansonpdr.com/products/camauto-bare-metal-glue
36,CAMAUTO Glue (Pack of 10),CAMAUTO,High,camauto-glue-pack-of-10,https://ansonpdr.com/products/camauto-glue-pack-of-10
37,Dent Slayer Hot Climate Collision,Dent Slayer,High,dent-slayer-collision-glue-hot,https://ansonpdr.com/products/dent-slayer-collision-glue-hot
38,Glexo GPR/Collision Red,Glexo,Super High,glexo-gpr-collision-red,https://ansonpdr.com/products/glexo-gpr-collision-red
39,PDR Outlet Glue,PDR Outlet,High,pdr-outlet-glue,https://ansonpdr.com/products/pdr-outlet-glue
40,Perfect Pull Collision (Box of 40),Perfect Pull,High,perfect-pull-collision-glue-pack-of-10,https://ansonpdr.com/products/perfect-pull-collision-glue-pack-of-10
41,Tequila Collision (Nude),Tequila PDR,High,tequila-pdr-collision-glue,https://ansonpdr.com/products/tequila-pdr-collision-glue
